"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.903373456790123,0.969,0.00511150773901353,0.00686285701242183,0.90031116962375,0.00440785383045931,0.9515,0.00777817459305203,0.105851540337431,0.0252060534526882,0.00529413228487533,0.00250740845864438,9297.32477207984,342.306140496961,2.68626694126529e-75,17
"2","LQ","1","fc.LQ_rm.1",0.90988315696649,0.992,0.00648604053650526,0.00187651633709126,0.906281559187279,0.00340251412761675,0.9655,0.00353553390593274,0.116408699547106,0.00527875464977763,0.00705469566515702,1.7595848832592e-05,9206.68110754516,251.662475962285,1.29470501695874e-55,21
"3","H","1","fc.H_rm.1",0.931046119929453,0.999,0.00948037127357787,0.0019302109495964,0.924220515540238,0.0021463359219487,0.973,0.0254558441227157,0.128763748569153,0.0127921821012945,0.00353356890459364,0.00499722106845617,8955.01863158288,0,0.57541759450871,49
"4","LQH","1","fc.LQH_rm.1",0.930884391534392,0.996,0.00932110809734737,0.00175294508970218,0.924485707398099,0.00205613256249328,0.97,0.0282842712474619,0.13053053302145,0.0152907926355226,0.00353356890459364,0.00499722106845617,8956.65542231688,1.63679073400272,0.253839115178172,49
"5","LQHP","1","fc.LQHP_rm.1",0.931321604938272,0.998,0.00917877059174838,0.000832206228046747,0.924782582553626,0.00116770495804914,0.9685,0.0275771644662754,0.130536754093465,0.0202792157795624,0.00529413228487533,0.00250740845864438,8957.45021672853,2.43158514564857,0.170596898629734,51
"6","LQHPT","1","fc.LQHPT_rm.1",0.93233253968254,0.998,0.0120741968596029,0.00085645330773801,0.923874184106405,0.000689587034400093,0.967,0.0311126983722081,0.142866918827452,0.00783895065491979,0.00529413228487533,0.00250740845864438,8971.76530301944,16.7466714365582,0.000132889185504214,64
"7","L","2","fc.L_rm.2",0.902282627865961,0.985,0.00661055093813762,0.00625544127238124,0.899747176566466,0.00608237246232983,0.9565,0.0190918830920368,0.104084755885134,0.0227074429184601,0.00530035335689046,0.00749583160268425,9325.69249550736,370.673863924476,1.85855874637841e-81,17
"8","LQ","2","fc.LQ_rm.2",0.905543121693122,0.991,0.00503446847160705,0.00634752562807684,0.903527485007216,0.00532592956039402,0.9725,0.00494974746830584,0.102311750360822,0.0152204092401922,0.00530035335689046,0.00749583160268425,9280.10891826476,325.090286681881,1.47070078425717e-71,19
"9","H","2","fc.H_rm.2",0.928128306878307,0.996,0.00690181033195642,0.00337477207245103,0.9236261792042,0.00297888702863255,0.9665,0.0233345237791561,0.107612103717713,0.0227162408428764,0.00353356890459364,0.00499722106845617,8994.06164418574,39.0430126028568,1.91381816338173e-09,43
"10","LQH","2","fc.LQH_rm.2",0.92811684303351,0.992,0.00701500335937888,0.00321461377658436,0.92412567903001,0.00323853489317605,0.9685,0.0190918830920368,0.116433583835166,0.0252324472259371,0.00176678445229682,0.00249861053422808,8987.05075343723,32.032121854354,6.37230060153474e-08,40
"11","LQHP","2","fc.LQHP_rm.2",0.929275749559083,0.997,0.00751145112725826,0.00144601453996819,0.924219298698552,0.0021321219952617,0.973,0.0197989898732233,0.119936047379684,0.00528755257419394,0.00352734783257851,8.79792441629598e-06,8979.79204770413,24.773416121252,2.40161936894138e-06,42
"12","LQHPT","2","fc.LQHPT_rm.2",0.930093209876543,0.998,0.00821062745732343,0.000884576752927216,0.924368208766735,0.00123832677713113,0.9825,0.0162634559672906,0.112893793858558,0.0152468030134411,0.00352734783257851,8.79792441629598e-06,8976.77130237527,21.7526707923862,1.0875536524163e-05,47
"13","L","3","fc.L_rm.3",0.900518253968254,0.996,0.0082812005424775,0.00579586849360934,0.898480497250286,0.00793099322047447,0.962,0.0183847763108503,0.0970611655800528,0.0476319627898269,0.00706713780918728,0.00999444213691233,9361.78640611506,406.767774532178,2.70074256675745e-89,17
"14","LQ","3","fc.LQ_rm.3",0.902149118165785,0.995,0.00663057345841839,0.00597730808884664,0.900369126996964,0.00644173248303788,0.971,0.00707106781186548,0.109385109242025,0.0302032745211444,0.00706713780918728,0.00999444213691233,9335.35748208063,380.338850497748,1.4806456152445e-83,18
"15","H","3","fc.H_rm.3",0.926978218694885,0.997,0.00579954150699247,0.00438908037944371,0.923044229644652,0.00349564103735569,0.973,0.0155563491861041,0.114654357238839,0.0127569904036293,0.00176678445229682,0.00249861053422808,9002.5125139389,47.4938823560242,2.79780615629723e-11,33
"16","LQH","3","fc.LQH_rm.3",0.927150176366843,0.993,0.00603072587468273,0.00422663814239852,0.923342583548997,0.00410847102008209,0.9835,0.00636396103067893,0.114673020454885,0.0277222598357489,0.00176678445229682,0.00249861053422808,8997.73938362211,42.720752039233,3.04291415498859e-10,32
"17","LQHP","3","fc.LQHP_rm.3",0.928006084656085,0.997,0.00646049370427515,0.00220562469469385,0.923569700579804,0.00301195138817385,0.978,0.00282842712474619,0.121696610759966,0.00279773996438216,0.00176678445229682,0.00249861053422808,8985.2250678521,30.2064362692199,1.58759178254559e-07,30
"18","LQHPT","3","fc.LQHPT_rm.3",0.928574514991182,0.999,0.00685077016871544,0.0013444891315816,0.923951907069626,0.00214775414736465,0.986,0.00565685424949239,0.123450953068233,0.00468049578946951,0.00352734783257851,8.79792441629598e-06,8996.41453022798,41.3958986451053,5.90171128363541e-10,40
"19","L","4","fc.L_rm.4",0.898210670194004,0.993,0.00980914808639821,0.00543155700103986,0.896686172112178,0.00960309330292288,0.969,0.0226274169979695,0.10411586124521,0.0476495586386595,0.00706713780918728,0.00999444213691233,9400.85587584934,445.837244266462,8.86452830768157e-98,16
"20","LQ","4","fc.LQ_rm.4",0.900093562610229,0.994,0.00811044020305579,0.00544778477262575,0.898464119656099,0.00805275121564135,0.98,0.00424264068711929,0.0970487234360225,0.0376551165017472,0.00706713780918728,0.00999444213691233,9369.99163242425,414.97300084137,4.46417216299754e-91,16
"21","H","4","fc.H_rm.4",0.92607962962963,0.996,0.00526711541332803,0.00506690150962571,0.922081184056637,0.00412758011191432,0.9855,0.00636396103067893,0.112900014930573,0.020235226157481,0.00176678445229682,0.00249861053422808,9021.16408072423,66.1454491413551,2.49276509376707e-15,29
"22","LQH","4","fc.LQH_rm.4",0.926347001763668,0.995,0.00559422560095557,0.00546633079729518,0.922096127693724,0.00501423229521126,0.984,0.00424264068711929,0.12525506395262,0.0277486536089978,0.00176678445229682,0.00249861053422808,9019.61891340412,64.6002818212401,5.39771779581657e-15,30
"23","LQHP","4","fc.LQHP_rm.4",0.927124955908289,0.996,0.00587267331906627,0.00295036899653336,0.922868613758523,0.00374200755520037,0.983,0.0014142135623731,0.123482058428308,0.0202616199307299,0.00176678445229682,0.00249861053422808,9014.8980374295,59.8794058466228,5.71920110195586e-14,31
"24","LQHPT","4","fc.LQHPT_rm.4",0.927610317460317,0.999,0.00598933894888765,0.0021230289004813,0.923412825051013,0.00308043443183042,0.986,0,0.118181705071418,0.0127657883280456,0.00352734783257851,8.79792441629598e-06,9002.86329037842,47.8446587955441,2.34772640993052e-11,31
"25","L","5","fc.L_rm.5",0.895660405643739,0.988,0.0110548679888518,0.00488707985268855,0.894667081508486,0.010768931781307,0.9675,0.0346482322781409,0.102355297864928,0.0501393712484713,0.00530035335689046,0.00749583160268425,9439.58570782638,484.567076243497,3.448097001745e-106,14
"26","LQ","5","fc.LQ_rm.5",0.89795987654321,0.994,0.00948743592295825,0.00531105798885691,0.89643417328174,0.00972094941861119,0.979,0.0169705627484772,0.0970611655800528,0.0476319627898269,0.00530035335689046,0.00749583160268425,9404.99115355321,449.972521970329,1.12122168139835e-98,14
"27","H","5","fc.H_rm.5",0.925276807760141,0.997,0.00464071287264223,0.00569993372629292,0.921143726048873,0.00481869270640822,0.9895,0.00212132034355964,0.112887572786543,0.0102583798694012,0.00176678445229682,0.00249861053422808,9038.50628297624,83.4876513933632,4.2743490412732e-19,25
"28","LQH","5","fc.LQH_rm.5",0.925478571428571,0.996,0.00506023490767926,0.00653794262538847,0.921042701749365,0.00585216861143038,0.9895,0.00919238815542513,0.123494500572339,0.0302384662188096,0.00176678445229682,0.00249861053422808,9036.23188917076,81.2132575878804,1.33274887085964e-18,26
"29","LQHP","5","fc.LQHP_rm.5",0.926309082892416,0.995,0.0052824005872692,0.00375519608379668,0.921824271201413,0.00450883640690965,0.9895,0.00494974746830584,0.121709052903996,0.0127745862524619,0.00176678445229682,0.00249861053422808,9027.97659850009,72.9579669172108,8.26726608234515e-17,25
"30","LQHPT","5","fc.LQHPT_rm.5",0.926818783068783,0.999,0.00518412133578855,0.0031740843781758,0.922515836671975,0.00420107269373339,0.9905,0.00777817459305203,0.116421141691136,0.0152556009378574,0.00176678445229682,0.00249861053422808,9023.04273280367,68.0241012207953,9.74399918229708e-16,29
