"species","longitude","latitude","ID","Bio3","Bio4","Bio7","Bio9","Bio13","Bio14","Bio15","Bio18","Settlement_dist","River_dist","Road_dist"
"elephant",36.01758333,-3.76845,1,70.7825164794922,157.515640258789,16.4000015258789,19.9833335876465,152,1,91.0094604492188,336,9998.9306640625,0,0
"elephant",35.93451667,-3.4733,2,70.5246887207031,150.923309326172,16.2000007629395,20.3333339691162,153,0,93.7498397827148,319,2062.4970703125,2612.67944335938,0.0166666675359011
"elephant",35.99926667,-3.74405,3,71.2121276855469,157.340576171875,16.5,20.0499992370605,158,2,89.3076171875,346,7904.65185546875,921.4814453125,0.0117851132526994
"elephant",35.97661667,-3.77951667,4,71.1145095825195,156.845687866211,16.3000011444092,20.1166667938232,151,1,91.0357284545898,331,5629.9521484375,921.482299804688,0
"elephant",35.98123333,-3.85813333,5,70.5128173828125,157.881332397461,15.6000003814697,19.7999992370605,152,1,90.9784851074219,340,5830.55029296875,2915.28564453125,0.0263523142784834
"elephant",35.95715,-3.64528333,6,70.565299987793,157.910125732422,17.0999984741211,20.4333324432373,148,1,90.0307998657227,237,4136.4833984375,0,0.0117851132526994
"elephant",35.95245,-3.61455,7,71.0059204101562,155.969604492188,16.8999996185303,20.466667175293,158,1,92.9768676757812,232,4136.54345703125,0,0.030046259984374
"elephant",36.01208333,-3.53448333,8,71.1616134643555,151.604415893555,16.5,20.2666664123535,156,1,93.1180801391602,233,10350.36328125,921.477294921875,0.025000000372529
"elephant",35.99478333,-3.55121667,9,71.1616134643555,150.702270507812,16.5,20.3666667938232,157,1,93.6138381958008,231,11057.7431640625,921.477661132812,0.0263523142784834
"elephant",36.10433333,-3.68111667,10,71.5151443481445,161.686187744141,16.5,19.6333332061768,159,1,92.3877868652344,249,4699.482421875,925.771911621094,0
"elephant",36.00186667,-3.526,11,71.3922805786133,150.883117675781,16.3999996185303,20.2333335876465,156,1,93.3682403564453,235,10525.689453125,2062.466796875,0.0186339002102613
"elephant",35.9978,-3.65321667,12,70.611442565918,159.32861328125,16.8999996185303,20.25,149,1,90.6470794677734,322,0,921.479675292969,0.00833333376795053
"elephant",35.97036667,-3.63983333,13,70.5392150878906,158.378997802734,17,20.3500003814697,160,2,88.2638320922852,343,3333.23315429688,1842.95812988281,0.0186339002102613
"elephant",35.9702,-3.58473333,14,70.6586837768555,154.865539550781,16.7000007629395,20.3833332061768,154,1,90.9048919677734,326,7217.08056640625,0,0.0527046285569668
"elephant",36.11498333,-3.68633333,15,71.7171783447266,162.317489624023,16.5,19.7666664123535,157,1,92.1632995605469,337,4124.7939453125,0,0
"elephant",36.01993333,-3.61515,16,70.882942199707,157.89990234375,16.7999992370605,20.1499996185303,151,1,91.7936630249023,233,5379.787109375,1851.67980957031,0.00833333376795053
"elephant",35.92051667,-3.54996667,17,70.2898559570312,157.167175292969,16.0999984741211,20.283332824707,159,2,90.1710739135742,332,9214.7822265625,921.477294921875,0.0768295377492905
"elephant",35.9321,-3.48286667,18,70.1863327026367,154.926681518555,16.0999984741211,20.25,146,1,91.454833984375,311,3327.42260742188,2062.48706054688,0.0235702265053988
"elephant",35.95215,-3.48525,19,71.3701400756836,148.981399536133,16.2999992370605,20.5,151,1,92.9631881713867,318,3800.43286132812,0,0.0166666675359011
"elephant",35.93508333,-3.7857,20,70.7304458618164,157.438690185547,16.2000007629395,20.1499996185303,161,2,88.5386505126953,350,2062.36450195312,0,0
"elephant",35.92828333,-3.86606667,21,68.2777786254883,165.604385375977,15.0000009536743,19.8666667938232,143,1,90.934814453125,325,5379.40234375,921.483947753906,0
"elephant",35.96673333,-3.844,22,70.6475524902344,157.832748413086,15.7000007629395,19.9166660308838,150,1,90.8576965332031,334,6710.7431640625,1842.96691894531,0.025000000372529
"elephant",35.91875,-3.86396667,23,67.4549560546875,168.29133605957,14.8000001907349,19.783332824707,132,1,89.3329544067383,312,5910.53515625,0,0
"elephant",36.04978333,-3.55875,24,71.5863494873047,155.180725097656,16.5999984741211,20.1000003814697,163,1,91.5688095092773,245,6546.43505859375,2612.57690429688,0
"elephant",36.08246667,-3.542,25,71.8875503540039,153.856964111328,16.5999984741211,20.1499996185303,148,1,92.3493118286133,231,2926.55883789062,921.477478027344,0
"elephant",36.06476667,-3.53583333,26,71.8686904907227,153.407623291016,16.5,20.2333335876465,152,1,93.7641906738281,229,4982.86376953125,0,0.00833333376795053
"elephant",36.08961667,-3.5067,27,71.2264099121094,153.861282348633,15.9000005722046,19.75,171,2,91.1397171020508,251,5830.73876953125,1851.89562988281,0.0263523142784834
"elephant",36.05941667,-3.59321667,28,71.6765899658203,157.250869750977,16.7999992370605,20.1333332061768,150,1,91.6570892333984,233,3816.32446289062,1851.71350097656,0.00833333376795053
"elephant",36.0195,-3.75605,29,71.2678909301758,157.905303955078,16.2999992370605,19.8833332061768,154,1,90.6503982543945,339,9110.3125,1842.96374511719,0.00833333376795053
"elephant",35.91355,-3.81163333,30,69.3010787963867,161.434707641602,15.5,20.0166664123535,153,2,86.3195190429688,346,4965.4267578125,1306.10046386719,0.00833333376795053
"elephant",35.93828333,-3.79876667,31,70.2160415649414,158.560653686523,16.2000007629395,20.1333332061768,152,2,89.3485870361328,336,2915.3017578125,921.482482910156,0
"elephant",36.02735,-3.8192,32,71.2215347290039,156.59733581543,16.1000003814697,19.533332824707,147,1,91.305290222168,338,9930.75390625,2612.20703125,0
"elephant",36.04928333,-3.86246667,33,71.4285736083984,157.602783203125,16.0999984741211,19.75,146,1,92.1661682128906,333,7215.767578125,1306.0693359375,0
"elephant",36.03378333,-3.74746667,34,71.1145172119141,160.276153564453,16.2999992370605,19.8333339691162,150,1,91.5936126708984,331,7045.02587890625,1306.15551757812,0
"elephant",36.09796667,-3.48543333,35,70.6451644897461,155.043960571289,15.5,19.2666664123535,180,2,92.7991790771484,371,7429.7353515625,2062.48364257812,0.0416666679084301
"elephant",36.11936667,-3.46245,36,70.3225784301758,153.583465576172,15.5,18.7000007629395,190,2,94.1239395141602,389,7838.00439453125,2777.96533203125,0.0416666679084301
"elephant",36.11858333,-3.47318333,37,70.4883270263672,153.022567749023,15.6999988555908,18.8999996185303,182,1,95.5302734375,260,7217.6083984375,2764.42846679688,0.0353553406894207
"elephant",36.07806667,-3.50076667,38,71.4884643554688,153.746154785156,15.9000005722046,19.8166656494141,172,1,93.3664398193359,248,6187.41015625,2062.47680664062,0.025000000372529
"elephant",35.97073333,-3.57518333,39,70.8835296630859,154.66975402832,16.6000003814697,20.3666667938232,153,1,90.8537139892578,323,7837.52197265625,0,0.0506896860897541
"elephant",35.95306667,-3.86993333,40,70.3525619506836,160.077514648438,15.6000003814697,19.9166660308838,147,1,90.0507202148438,334,3685.93823242188,2062.32788085938,0
"elephant",36.00626667,-3.69298333,41,70.9073028564453,158.957305908203,16.8999996185303,20.216667175293,156,2,90.8797836303711,335,4699.4853515625,925.754699707031,0.00833333376795053
"elephant",36.00403333,-3.62761667,42,70.858283996582,157.917297363281,16.7000007629395,20.2000007629395,148,1,90.5556182861328,319,2915.34008789062,1842.95788574219,0.00833333376795053
"elephant",36.01703333,-3.54266667,43,70.9839324951172,152.588775634766,16.6000003814697,20.3166675567627,155,1,93.7098999023438,229,9304.7646484375,0,0.0166666675359011
"elephant",35.96296667,-3.74788333,44,71.0578842163086,157.754135131836,16.7000007629395,20.216667175293,165,3,87.3298721313477,364,4620.86083984375,2612.31713867188,0
"elephant",36.06126667,-3.70568333,45,71.5361404418945,162.230560302734,16.5999984741211,19.7999992370605,156,1,92.2503814697266,339,3800.39697265625,1851.4921875,0.00833333376795053
"elephant",35.9883,-3.53958333,46,71.1616134643555,151.319320678711,16.5,20.3500003814697,156,1,92.4365844726562,234,10312.41796875,2612.58837890625,0.0353553406894207
"elephant",35.99493333,-3.58443333,47,70.7329330444336,155.857223510742,16.5999984741211,20.2666664123535,151,1,91.0683135986328,230,7371.83154296875,921.478149414062,0.030046259984374
"elephant",36.01613333,-3.71183333,48,70.8829345703125,160.851776123047,16.8000011444092,20.0833339691162,153,1,92.8957138061523,331,6530.95849609375,2612.34130859375,0
"elephant",35.98221667,-3.6496,49,70.9072952270508,157.499404907227,16.9000015258789,20.3500003814697,152,1,90.5992813110352,326,2068.21899414062,1842.95922851562,0.00833333376795053
"elephant",36.10173333,-3.61415,50,71.5277786254883,157.210540771484,16.7999992370605,19.7666664123535,156,1,92.068244934082,336,1306.25073242188,925.839904785156,0
